name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BPrA,BPrA,2014-01-01,126,0,16,13,61,36,0,0
BT,BT,2014-01-01,218,5,30,35,91,18,1,10
BR,BR,2014-01-01,9,0,7,1,1,1,0,0
BBank,BBank,2014-01-01,10,0,6,1,2,0,0,0
BfDI,BfDI,2014-01-01,30,0,22,0,6,1,0,0
BRH,BRH,2014-01-01,5,0,2,0,0,2,0,0
BK,BK,2015-01-01,221,3,33,26,45,104,21,4
BK,BK,2015-01-01,16,0,0,0,10,6,0,0
BMAS,BMAS,2015-01-01,67,6,26,11,15,14,13,8
BMAS,BMAS,2015-01-01,867,14,730,37,38,58,27,26
AA,AA,2015-01-01,349,6,80,35,31,185,43,9
AA,AA,2015-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2015-01-01,251,5,120,9,32,75,10,8
BMI,BMI,2015-01-01,277,10,93,47,35,91,9,16
BMJV,BMJ,2015-01-01,118,1,43,7,15,45,12,5
BMJV,BMJ,2015-01-01,99,5,30,19,10,31,11,9
BMF,BMF,2015-01-01,1443,358,1521,6969,825,413,10,887
BMF,BMF,2015-01-01,2727,512,1224,1161,101,326,1115,1199
BMWi,BMWE,2015-01-01,165,10,41,20,41,42,11,7
BMWi,BMWE,2015-01-01,558,4,349,29,114,48,46,15
BMEL,BMLEH,2015-01-01,19,0,10,1,2,2,2,0
BMEL,BMLEH,2015-01-01,59,0,46,3,7,5,58,1
BMVg,BMVg,2015-01-01,71,0,48,9,11,4,0,6
BMVg,BMVg,2015-01-01,39,0,11,6,7,14,0,2
BMFSFJ,BMBFSFJ,2015-01-01,23,0,5,4,3,10,0,0
BMFSFJ,BMBFSFJ,2015-01-01,36,4,27,3,8,2,5,3
BMG,BMG,2015-01-01,32,1,16,1,6,10,2,2
BMG,BMG,2015-01-01,218,3,117,21,8,53,37,5
BMVI,BMV,2015-01-01,40,0,9,11,9,8,6,3
BMVI,BMV,2015-01-01,150,0,99,9,11,23,29,6
BMUB,BMUKN,2015-01-01,8,0,6,0,0,2,0,0
BMUB,BMUKN,2015-01-01,18,0,13,1,3,2,0,1
BMBF,BMFTR,2015-01-01,46,0,22,2,22,6,0,0
BMBF,BMFTR,2015-01-01,0,0,0,0,0,0,0,0
BKM,BKM,2015-01-01,36,1,4,4,10,8,1,0
BKM,BKM,2015-01-01,15,0,4,3,1,1,2,0
BMZ,BMZ,2015-01-01,156,0,6,3,1,145,1,1
BPA,BPA,2015-01-01,61,0,40,0,2,18,0,0
BPrA,BPrA,2015-01-01,38,0,6,8,11,13,0,0
BT,BT,2015-01-01,884,2,209,47,170,285,5,10
BR,BR,2015-01-01,15,0,9,5,1,0,0,0
BBank,BBank,2015-01-01,14,0,7,0,0,3,1,0
BfDI,BfDI,2015-01-01,227,0,25,6,6,5,0,1
BVerfG,BVerfG,2015-01-01,9,0,3,4,0,2,0,0
BRH,BRH,2015-01-01,4,0,1,0,1,3,0,0
BK,BK,2016-01-01,363,3,23,31,31,282,28,12
BK,BK,2016-01-01,10,0,0,0,10,0,0,0
BMAS,BMAS,2016-01-01,88,1,36,7,10,32,4,6
BMAS,BMAS,2016-01-01,1198,7,1026,37,55,67,26,26
AA,AA,2016-01-01,251,8,67,42,27,137,26,8
AA,AA,2016-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2016-01-01,251,3,115,17,32,89,13,6
BMI,BMI,2016-01-01,258,9,70,29,71,72,4,7
BMJV,BMJ,2016-01-01,115,3,31,9,13,64,16,4
BMJV,BMJ,2016-01-01,81,4,33,20,3,19,11,3
BMF,BMF,2016-01-01,263,49,109,1674,122,148,6,666
BMF,BMF,2016-01-01,3343,309,2549,160,103,541,716,242
BMWi,BMWE,2016-01-01,150,2,43,27,56,34,23,11
BMWi,BMWE,2016-01-01,579,0,338,47,60,86,47,13
BMEL,BMLEH,2016-01-01,42,0,11,8,3,19,1,1
BMEL,BMLEH,2016-01-01,42,0,24,7,2,9,22,3
BMVg,BMVg,2016-01-01,125,1,58,17,19,35,6,7
BMVg,BMVg,2016-01-01,21,0,9,5,2,5,2,0
BMFSFJ,BMBFSFJ,2016-01-01,64,0,23,6,2,31,0,0
BMFSFJ,BMBFSFJ,2016-01-01,31,1,31,3,1,0,6,1
BMG,BMG,2016-01-01,65,2,25,7,4,24,4,2
BMG,BMG,2016-01-01,210,4,117,14,14,55,45,5
BMVI,BMV,2016-01-01,52,1,12,14,11,18,1,7
BMVI,BMV,2016-01-01,216,4,110,38,36,19,23,12
BMUB,BMUKN,2016-01-01,22,0,14,3,1,1,0,0
